Department,Category,Subcategory,Brand,ALTERNATIVE SWEETENER TYPE,BRAND POSITION,CERTIFIED HOWGOOD RATING,CERTIFIED NON-GMO PROJECT VERIFIED,COMPANY,EQ UNIT SIZE,FAIR TRADE,FLAVOR,FUNCTIONAL INGREDIENT,GRAB N GO,LABELED GLUTEN FREE,LABELED NON-GMO,LABELED ORGANIC,LABELED VEGAN,PACK COUNT,PACKAGING TYPE - PRIMARY,POSITIONING GROUP,PRE AND PROBIOTICS,PRODUCT TYPE,RAW,SIZE,STORAGE,Dollars,Units,Avg % ACV,Max % ACV,TDP,ARP,% of Stores Selling,Average Weekly Dollars Per Store Selling Per Item,Average Weekly Units Per Store Selling Per Item
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,GINGER,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,6162633.45,2054877.12,97.69307692,99.23,99.23,2.999027723,98.94,86.23604719,28.75466823
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,BERRY,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,5425731.59,1831126.09,98.57769231,99.47,99.47,2.963057334,99.21,75.71767439,25.55390121
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF COCONUT & PLANT WATER,HARMLESS HARVEST,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,HARMLESS HARVEST,16,FAIR-TRADE CLAIM,PLAIN/UNFLAVORED,MISC SUPPLEMENTS - OTHER,GRAB N GO FUNCTIONAL,NOT LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 100%,NOT LABELED VEGAN,1,PLASTIC,NATURAL POSITIONING GROUP,NOT PREBIOTIC OR PROBIOTIC,RF COCONUT WATER,NOT RAW POSITIONED,16,REFRIGERATED,4583290.02,975425.35,90.98769231,95.55,95.55,4.698760413,90.19,70.35798012,14.97373221
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF COCONUT & PLANT WATER,HARMLESS HARVEST,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,HARMLESS HARVEST,32,FAIR-TRADE CLAIM,FRUIT - OTHER,MISC SUPPLEMENTS - OTHER,NOT GRAB N GO,NOT LABELED GLUTEN FREE,UNKNOWN,LABELED ORGANIC 100%,NOT LABELED VEGAN,1,PLASTIC,NATURAL POSITIONING GROUP,NOT PREBIOTIC OR PROBIOTIC,RF COCONUT WATER,NOT RAW POSITIONED,32,REFRIGERATED,4289483.18,466030.1,67.83769231,76.1,76.1,9.204305001,63.71,93.21628156,10.12746552
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,48,NOT FAIR-TRADE,BERRY,KOMBUCHA,NOT GRAB N GO,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,48,REFRIGERATED,4189901.8,551865.41,83.25615385,88.22,88.22,7.592252973,84.68,68.50423261,9.022912283
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,48,NOT FAIR-TRADE,GINGER,KOMBUCHA,NOT GRAB N GO,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,48,REFRIGERATED,4064236.34,533691.38,82.99153846,89.26,89.26,7.61533068,85.07,66.14498656,8.685766822
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,GINGER,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,3616976.5,1218935.23,96.18384615,97.86,97.86,2.967324605,96.53,51.87735098,17.48287022
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,NOT CERTIFIED,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,FRUIT - OTHER,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,3107838.26,1046959.07,83.38153846,92.5,92.5,2.96844294,89.96,47.83032951,16.11293546
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,NOT CERTIFIED,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,GINGER,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,2845608.84,953654.58,80.46230769,88.49,88.49,2.983898887,83.29,47.30170006,15.85231331
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,FRUIT - OTHER,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,2723425.98,910446.11,93.03923077,95.03,95.03,2.99130937,92.25,40.87366789,13.66413929
